common_material_id,common_code,common_description,material_family,material_type,material_grade,nominal_size,pressure_rating,standard_spec,unit_of_measure,consolidated_attributes,cpse_coverage,member_count,governance_status,group_confidence,group_identity_hash,approved_by,approved_at,approval_rationale
CMM-BEARNG-0669B8-001,CMM-BEARNG-0669B8-001,BEARING | BALL BEARING | STAINLESS STEEL | 6208 | ISO 15,BEARING,BALL BEARING,STAINLESS STEEL,6208,,ISO 15,NOS,"{""connection_type"": """", ""construction"": """", ""end_type"": """", ""material"": ""STAINLESS STEEL"", ""material_family"": ""BEARING"", ""material_grade"": ""STAINLESS STEEL"", ""material_subtype"": """", ""material_type"": ""BALL BEARING"", ""nominal_size"": """", ""orientation"": """", ""pressure_class"": """", ""rating"": """", ""size"": ""6208"", ""specification"": ""ISO 15"", ""standard"": ""ISO 15"", ""unit"": ""NOS""}",IOCL;NMDC;NTPC,3,VERIFIED_HARMONIZED,1.0,0669b83f401a8255523da00e5ffbdb22c8b0787a4f46901cfcc969bb4438c9a6,,,
CMM-BEARNG-0772AD-001,CMM-BEARNG-0772AD-001,BEARING | STAINLESS STEEL | 30205 | ISO 15,BEARING,,STAINLESS STEEL,30205,,ISO 15,NOS,"{""connection_type"": """", ""construction"": """", ""end_type"": """", ""material"": ""STAINLESS STEEL"", ""material_family"": ""BEARING"", ""material_grade"": ""STAINLESS STEEL"", ""material_subtype"": """", ""material_type"": """", ""nominal_size"": """", ""orientation"": """", ""pressure_class"": """", ""rating"": """", ""size"": ""30205"", ""specification"": ""ISO 15"", ""standard"": ""ISO 15"", ""unit"": ""NOS""}",IOCL;NMDC,2,VERIFIED_HARMONIZED,1.0,0772aded7d8e98c73d16b20e944ed9e561dec983e47ca9dd0c442e0e46717288,,,
CMM-BEARNG-0C2D83-001,CMM-BEARNG-0C2D83-001,BEARING | BALL BEARING | AISI 52100 | 6304 | DIN 625,BEARING,BALL BEARING,AISI 52100,6304,,DIN 625,NOS,"{""connection_type"": """", ""construction"": """", ""end_type"": """", ""material"": """", ""material_family"": ""BEARING"", ""material_grade"": ""AISI 52100"", ""material_subtype"": """", ""material_type"": ""BALL BEARING"", ""nominal_size"": """", ""orientation"": """", ""pressure_class"": """", ""rating"": """", ""size"": ""6304"", ""specification"": ""DIN 625"", ""standard"": """", ""unit"": ""NOS""}",HPCL;NTPC,2,VERIFIED_HARMONIZED,1.0,0c2d83237506f0222d2d353fc5283eadb4bc8ac1d671f794f26bbbe6a7c087da,,,
CMM-BEARNG-0FD5BF-001,CMM-BEARNG-0FD5BF-001,BEARING | BALL BEARING | STAINLESS STEEL | 6208 | DIN 625,BEARING,BALL BEARING,STAINLESS STEEL,6208,,DIN 625,NOS,"{""connection_type"": """", ""construction"": """", ""end_type"": """", ""material"": ""STAINLESS STEEL"", ""material_family"": ""BEARING"", ""material_grade"": ""STAINLESS STEEL"", ""material_subtype"": """", ""material_type"": ""BALL BEARING"", ""nominal_size"": """", ""orientation"": """", ""pressure_class"": """", ""rating"": """", ""size"": ""6208"", ""specification"": ""DIN 625"", ""standard"": """", ""unit"": ""NOS""}",BHEL;Coal India;HPCL;IOCL;NMDC;NTPC;ONGC;SAIL,10,AMBIGUOUS_REVIEW_REQUIRED,1.0,0fd5bf701746c0f8bee4bd36c247463cadf0d59527b61c945b68c64c08380ce0,,,
CMM-BEARNG-17B18A-001,CMM-BEARNG-17B18A-001,BEARING | CHROME STEEL | 6208 | ABMA 9,BEARING,,CHROME STEEL,6208,,ABMA 9,NOS,"{""connection_type"": """", ""construction"": """", ""end_type"": """", ""material"": ""CHROME STEEL"", ""material_family"": ""BEARING"", ""material_grade"": ""CHROME STEEL"", ""material_subtype"": """", ""material_type"": """", ""nominal_size"": """", ""orientation"": """", ""pressure_class"": """", ""rating"": """", ""size"": ""6208"", ""specification"": ""ABMA 9"", ""standard"": """", ""unit"": ""NOS""}",BHEL;HPCL;IOCL;ONGC;SAIL,5,VERIFIED_HARMONIZED,1.0,17b18abaf8e4b0927eb12fdd30ebbb9645eb86e6438d7af705d3f1ed52ff1d8f,,,
CMM-BEARNG-1E674F-001,CMM-BEARNG-1E674F-001,BEARING | AISI 52100 | 6208 | DIN 625,BEARING,,AISI 52100,6208,,DIN 625,NOS,"{""connection_type"": """", ""construction"": """", ""end_type"": """", ""material"": """", ""material_family"": ""BEARING"", ""material_grade"": ""AISI 52100"", ""material_subtype"": """", ""material_type"": """", ""nominal_size"": """", ""orientation"": """", ""pressure_class"": """", ""rating"": """", ""size"": ""6208"", ""specification"": ""DIN 625"", ""standard"": """", ""unit"": ""NOS""}",BHEL;Coal India;NTPC;ONGC,4,VERIFIED_HARMONIZED,1.0,1e674f46cb30cc102e61712e36b514851a2c7713480647333e11c5ddf2cfc3c0,,,
CMM-BEARNG-200E56-001,CMM-BEARNG-200E56-001,BEARING | STAINLESS STEEL | 6408 | DIN 625,BEARING,,STAINLESS STEEL,6408,,DIN 625,NOS,"{""connection_type"": """", ""construction"": """", ""end_type"": """", ""material"": ""STAINLESS STEEL"", ""material_family"": ""BEARING"", ""material_grade"": ""STAINLESS STEEL"", ""material_subtype"": """", ""material_type"": """", ""nominal_size"": """", ""orientation"": """", ""pressure_class"": """", ""rating"": """", ""size"": ""6408"", ""specification"": ""DIN 625"", ""standard"": """", ""unit"": ""NOS""}",NTPC;ONGC,2,VERIFIED_HARMONIZED,1.0,200e56bc738cdfd836d728fcbe07ab292af4611f9040808bd6b3a35f4fb02296,,,
CMM-BEARNG-20EFDA-001,CMM-BEARNG-20EFDA-001,BEARING | STAINLESS STEEL | 6304 | ISO 15,BEARING,,STAINLESS STEEL,6304,,ISO 15,NOS,"{""connection_type"": """", ""construction"": """", ""end_type"": """", ""material"": ""STAINLESS STEEL"", ""material_family"": ""BEARING"", ""material_grade"": ""STAINLESS STEEL"", ""material_subtype"": """", ""material_type"": """", ""nominal_size"": """", ""orientation"": """", ""pressure_class"": """", ""rating"": """", ""size"": ""6304"", ""specification"": ""ISO 15"", ""standard"": ""ISO 15"", ""unit"": ""NOS""}",BHEL;IOCL;NTPC;SAIL,4,VERIFIED_HARMONIZED,1.0,20efda2f3d65a95e882a66f68dcb03f22ac869e15dd922a044184aa3921d2324,,,
CMM-BEARNG-300A61-001,CMM-BEARNG-300A61-001,BEARING | STAINLESS STEEL | 30205,BEARING,,STAINLESS STEEL,30205,,UNRESOLVED_CONFLICT (ABMA 9 vs DIN 625),NOS,"{""connection_type"": """", ""construction"": """", ""end_type"": """", ""material"": ""STAINLESS STEEL"", ""material_family"": ""BEARING"", ""material_grade"": ""STAINLESS STEEL"", ""material_subtype"": """", ""material_type"": """", ""nominal_size"": """", ""orientation"": """", ""pressure_class"": """", ""rating"": """", ""size"": ""30205"", ""specification"": ""UNRESOLVED_CONFLICT (ABMA 9 vs DIN 625)"", ""standard"": """", ""unit"": ""NOS""}",BHEL;IOCL;NTPC;ONGC,5,AMBIGUOUS_REVIEW_REQUIRED,0.7,300a61efb6cb4b16e13f2681f1420d529926ea73d8801efb38c3b61d5e8148b9,,,
CMM-BEARNG-39C22B-001,CMM-BEARNG-39C22B-001,BEARING | CHROME STEEL | 22208 | ABMA 9,BEARING,,CHROME STEEL,22208,,ABMA 9,NOS,"{""connection_type"": """", ""construction"": """", ""end_type"": """", ""material"": ""CHROME STEEL"", ""material_family"": ""BEARING"", ""material_grade"": ""CHROME STEEL"", ""material_subtype"": """", ""material_type"": """", ""nominal_size"": """", ""orientation"": """", ""pressure_class"": """", ""rating"": """", ""size"": ""22208"", ""specification"": ""ABMA 9"", ""standard"": """", ""unit"": ""NOS""}",HPCL;NMDC;NTPC;ONGC;SAIL,10,AMBIGUOUS_REVIEW_REQUIRED,1.0,39c22b881ae622f978e2535d45c66d51e966f2847d267850b4cbe32430af4adc,,,
