source_material_code,source_cpse,candidate_material_code,candidate_cpse,source_canonical_key,candidate_canonical_key,canonical_key_exact,description_similarity,embedding_similarity,attribute_agreement,evaluated_attribute_count,blocking_strategies,conflict_present,conflict_details,engineering_conflict_class,engineering_incompatibility,penalty_applied,final_match_score,confidence_level,evidence_summary,material_family_similarity,material_type_similarity,material_subtype_similarity,material_similarity,material_grade_similarity,nominal_size_similarity,size_similarity,length_similarity,width_similarity,height_similarity,diameter_similarity,thickness_similarity,pressure_class_similarity,schedule_similarity,rating_similarity,standard_similarity,coating_similarity,connection_type_similarity,end_type_similarity,construction_similarity,orientation_similarity,dataset_id,candidate_id
ONGC-RT-001,ONGC,IOCL-RT-002,IOCL,VALVE|GATE_VALVE|ASTM_A216_WCB|2_IN|API_600|FLANGED,VALVE|GATE_VALVE|ASTM_A216_WCB|2_IN|API_600|FLANGED,True,1.0,1.0,1.0,6,FAMILY_TOKEN|MATERIAL_GRADE|SIZE|STANDARD|TYPE,False,,NO_CONFLICT,False,0.0,1.0,HIGH,Exact canonical material key match | Embedding sim: 1.00 | Description sim: 1.00 | Attribute agreement: 1.00 (6 attrs) | Status: NO_CONFLICT,1.0,1.0,,,1.0,,1.0,,,,,,,,,1.0,,1.0,,,,UPLOAD-20260911-015,CAN-UPLOAD-20260911-015-0001
ONGC-RT-001,ONGC,HPCL-RT-003,HPCL,VALVE|GATE_VALVE|ASTM_A216_WCB|2_IN|API_600|FLANGED,VALVE|GATE_VALVE|STAINLESS_STEEL|SS_304|2_IN|API_600|FLANGED,False,0.7218,0.7926,0.7143,7,FAMILY_TOKEN|SIZE|STANDARD|TYPE,True,HPCL-RT-003: material_grade: 'SS304' vs 'SS 304',NO_CONFLICT,False,0.0,0.5164,LOW,Embedding sim: 0.79 | Description sim: 0.72 | Attribute agreement: 0.71 (7 attrs) | Status: NO_CONFLICT,1.0,1.0,,0.0,0.0,,1.0,,,,,,,,,1.0,,1.0,,,,UPLOAD-20260911-015,CAN-UPLOAD-20260911-015-0002
ONGC-RT-001,ONGC,CPCL-RT-004,CPCL,VALVE|GATE_VALVE|ASTM_A216_WCB|2_IN|API_600|FLANGED,VALVE|GATE_VALVE|ASTM_A216_WCB|3_IN|API_600|FLANGED,False,0.9836,0.9941,0.9583,6,FAMILY_TOKEN|MATERIAL_GRADE|STANDARD|TYPE,True,,HARD_INCOMPATIBLE,True,0.5,0.1805,LOW,Embedding sim: 0.99 | Description sim: 0.98 | Attribute agreement: 0.96 (6 attrs) | Status: HARD_INCOMPATIBLE | Penalty: -0.50 | Notes: Incompatible pipe/valve nominal size: '2 IN' vs '3 IN',1.0,1.0,,,1.0,,0.75,,,,,,,,,1.0,,1.0,,,,UPLOAD-20260911-015,CAN-UPLOAD-20260911-015-0003
IOCL-RT-002,IOCL,HPCL-RT-003,HPCL,VALVE|GATE_VALVE|ASTM_A216_WCB|2_IN|API_600|FLANGED,VALVE|GATE_VALVE|STAINLESS_STEEL|SS_304|2_IN|API_600|FLANGED,False,0.7218,0.7926,0.7143,7,FAMILY_TOKEN|SIZE|STANDARD|TYPE,True,HPCL-RT-003: material_grade: 'SS304' vs 'SS 304',NO_CONFLICT,False,0.0,0.5164,LOW,Embedding sim: 0.79 | Description sim: 0.72 | Attribute agreement: 0.71 (7 attrs) | Status: NO_CONFLICT,1.0,1.0,,0.0,0.0,,1.0,,,,,,,,,1.0,,1.0,,,,UPLOAD-20260911-015,CAN-UPLOAD-20260911-015-0004
IOCL-RT-002,IOCL,CPCL-RT-004,CPCL,VALVE|GATE_VALVE|ASTM_A216_WCB|2_IN|API_600|FLANGED,VALVE|GATE_VALVE|ASTM_A216_WCB|3_IN|API_600|FLANGED,False,0.9836,0.9941,0.9583,6,FAMILY_TOKEN|MATERIAL_GRADE|STANDARD|TYPE,True,,HARD_INCOMPATIBLE,True,0.5,0.1805,LOW,Embedding sim: 0.99 | Description sim: 0.98 | Attribute agreement: 0.96 (6 attrs) | Status: HARD_INCOMPATIBLE | Penalty: -0.50 | Notes: Incompatible pipe/valve nominal size: '2 IN' vs '3 IN',1.0,1.0,,,1.0,,0.75,,,,,,,,,1.0,,1.0,,,,UPLOAD-20260911-015,CAN-UPLOAD-20260911-015-0005
HPCL-RT-003,HPCL,CPCL-RT-004,CPCL,VALVE|GATE_VALVE|STAINLESS_STEEL|SS_304|2_IN|API_600|FLANGED,VALVE|GATE_VALVE|ASTM_A216_WCB|3_IN|API_600|FLANGED,False,0.7218,0.8001,0.6786,7,FAMILY_TOKEN|STANDARD|TYPE,True,HPCL-RT-003: material_grade: 'SS304' vs 'SS 304',HARD_INCOMPATIBLE,True,0.5,0.0036,LOW,Embedding sim: 0.80 | Description sim: 0.72 | Attribute agreement: 0.68 (7 attrs) | Status: HARD_INCOMPATIBLE | Penalty: -0.50 | Notes: Incompatible pipe/valve nominal size: '2 IN' vs '3 IN',1.0,1.0,,0.0,0.0,,0.75,,,,,,,,,1.0,,1.0,,,,UPLOAD-20260911-015,CAN-UPLOAD-20260911-015-0006
ONGC-RT-005,ONGC,IOCL-RT-006,IOCL,VALVE|BALL_VALVE|STAINLESS_STEEL|SS_316|2_IN|API_6D|FLANGED,VALVE|BALL_VALVE|STAINLESS_STEEL|SS_316|2_IN|API_6D|THREADED,False,0.8811,0.9209,0.8571,7,FAMILY_TOKEN|MATERIAL_GRADE|SIZE|STANDARD|TYPE,True,ONGC-RT-005: material_grade: 'SS316' vs 'SS 316'; IOCL-RT-006: material_grade: 'SS316' vs 'SS 316',NO_CONFLICT,False,0.0,0.6151,LOW,Embedding sim: 0.92 | Description sim: 0.88 | Attribute agreement: 0.86 (7 attrs) | Status: NO_CONFLICT,1.0,1.0,,1.0,1.0,,1.0,,,,,,,,,1.0,,0.0,,,,UPLOAD-20260911-015,CAN-UPLOAD-20260911-015-0007
HPCL-RT-007,HPCL,CPCL-RT-008,CPCL,FASTENER|BOLT|B7|M16|75_MM|16_MM|ASTM_A193|ZINC,FASTENER|BOLT|B7|M20|75_MM|20_MM|ASTM_A193|ZINC,False,0.9344,0.9937,0.825,8,FAMILY_TOKEN|MATERIAL_GRADE|STANDARD|TYPE,True,HPCL-RT-007: material_grade: 'B7' vs 'ASTM A193'; CPCL-RT-008: material_grade: 'B7' vs 'ASTM A193',HARD_INCOMPATIBLE,True,0.5,0.1222,LOW,Embedding sim: 0.99 | Description sim: 0.93 | Attribute agreement: 0.82 (8 attrs) | Status: HARD_INCOMPATIBLE | Penalty: -0.50 | Notes: Incompatible metric bolt diameter: 'M16' vs 'M20',1.0,1.0,,,1.0,,0.0,1.0,,,0.6,,,,,1.0,1.0,,,,,UPLOAD-20260911-015,CAN-UPLOAD-20260911-015-0008
ONGC-RT-001,ONGC,ONGC-RT-005,ONGC,VALVE|GATE_VALVE|ASTM_A216_WCB|2_IN|API_600|FLANGED,VALVE|BALL_VALVE|STAINLESS_STEEL|SS_316|2_IN|API_6D|FLANGED,False,0.697,0.7335,0.6385,7,FAMILY_TOKEN|SIZE,True,ONGC-RT-005: material_grade: 'SS316' vs 'SS 316',HARD_INCOMPATIBLE,True,0.5,0.0,LOW,Embedding sim: 0.73 | Description sim: 0.70 | Attribute agreement: 0.64 (7 attrs) | Status: HARD_INCOMPATIBLE | Penalty: -0.50 | Notes: Material type mismatch: 'GATE VALVE' vs 'BALL VALVE',1.0,0.7,,0.0,0.0,,1.0,,,,,,,,,0.7692,,1.0,,,,UPLOAD-20260911-015,CAN-UPLOAD-20260911-015-0009
ONGC-RT-001,ONGC,IOCL-RT-006,IOCL,VALVE|GATE_VALVE|ASTM_A216_WCB|2_IN|API_600|FLANGED,VALVE|BALL_VALVE|STAINLESS_STEEL|SS_316|2_IN|API_6D|THREADED,False,0.6466,0.6487,0.4956,7,FAMILY_TOKEN|SIZE,True,IOCL-RT-006: material_grade: 'SS316' vs 'SS 316',HARD_INCOMPATIBLE,True,0.5,0.0,LOW,Embedding sim: 0.65 | Description sim: 0.65 | Attribute agreement: 0.50 (7 attrs) | Status: HARD_INCOMPATIBLE | Penalty: -0.50 | Notes: Material type mismatch: 'GATE VALVE' vs 'BALL VALVE',1.0,0.7,,0.0,0.0,,1.0,,,,,,,,,0.7692,,0.0,,,,UPLOAD-20260911-015,CAN-UPLOAD-20260911-015-0010
